filename	TRACE	MPKBr_1K	MPKBr_10K	MPKBr_100K	MPKBr_1M	MPKBr_10M	NUM_INSTRUCTIONS	NUM_BR	NUM_UNCOND_BR	NUM_CONDITIONAL_BR	NUM_MISPREDICTIONS	MISPRED_PER_1K_INST	MPKBr_30M	MPKBr_60M	MPKBr_100M	MPKBr_300M	MPKBr_600M	MPKBr_1B	trace	trace_category	tableCount	logTableSize	weightBit	speed
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-1.bt9.trace.res	../traces/LONG_MOBILE-1.bt9.trace.gz	81	17.5	26.65	24.365	23.8038	642168792	29269647	54105	29215542	695644	1.083273	NA	NA	NA	NA	NA	NA	LONG_MOBILE-1	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-11.bt9.trace.res	../traces/LONG_MOBILE-11.bt9.trace.gz	239	112.3	62.4	33.025	21.0621	1207440258	325563619	94204876	231358743	3772303	3.124215	22.8807	16.62845	14.30496	11.30076	NA	NA	LONG_MOBILE-11	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-12.bt9.trace.res	../traces/LONG_MOBILE-12.bt9.trace.gz	239	113.7	61.74	33.221	34.8972	1688784689	436394748	112850745	323544003	7166789	4.243755	44.952133	29.9497	23.60098	17.21924	NA	NA	LONG_MOBILE-12	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-13.bt9.trace.res	../traces/LONG_MOBILE-13.bt9.trace.gz	53	9.4	3.37	3.79	NA	1899254569	9074602	47369	9027233	36985	0.019473	NA	NA	NA	NA	NA	NA	LONG_MOBILE-13	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-14.bt9.trace.res	../traces/LONG_MOBILE-14.bt9.trace.gz	88	31.6	3.16	44.057	42.9179	996258435	231568519	34825181	196743338	21988505	22.071085	42.621567	46.869533	72.85719	NA	NA	NA	LONG_MOBILE-14	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-15.bt9.trace.res	../traces/LONG_MOBILE-15.bt9.trace.gz	71	33.6	3.69	0.669	0.458	1540382230	341525363	44793411	296731952	216251	0.140388	0.467633	0.478067	0.49593	0.55532	NA	NA	LONG_MOBILE-15	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-16.bt9.trace.res	../traces/LONG_MOBILE-16.bt9.trace.gz	84	70.6	46.77	63.722	55.5532	1658101133	97906477	27848166	70058311	5647801	3.406186	59.331567	60.554767	NA	NA	NA	NA	LONG_MOBILE-16	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-17.bt9.trace.res	../traces/LONG_MOBILE-17.bt9.trace.gz	84	70.6	46.94	53.472	43.1954	3084656168	117925615	25271073	92654542	6682685	2.166428	54.5356	56.26455	56.42462	NA	NA	NA	LONG_MOBILE-17	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-18.bt9.trace.res	../traces/LONG_MOBILE-18.bt9.trace.gz	94	88	19.01	16.488	58.9014	1594582569	86784978	19134527	67650451	6609219	4.144796	68.968533	73.790867	NA	NA	NA	NA	LONG_MOBILE-18	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-19.bt9.trace.res	../traces/LONG_MOBILE-19.bt9.trace.gz	132	58.7	8.06	1.378	2.6641	1980734565	97764489	5647082	92117407	525646	0.265379	3.652233	4.218717	NA	NA	NA	NA	LONG_MOBILE-19	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-2.bt9.trace.res	../traces/LONG_MOBILE-2.bt9.trace.gz	40	4	45.25	24.679	18.9884	1271560006	112993125	1404676	111588449	2106739	1.656814	18.8952	18.694333	18.64719	NA	NA	NA	LONG_MOBILE-2	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-3.bt9.trace.res	../traces/LONG_MOBILE-3.bt9.trace.gz	183	110.4	70.81	48.94	70.6131	1283893069	163272689	26253683	137019006	13445231	10.472236	78.899633	80.975217	83.63134	NA	NA	NA	LONG_MOBILE-3	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-4.bt9.trace.res	../traces/LONG_MOBILE-4.bt9.trace.gz	161	21.2	3.47	0.722	0.4243	999999976	13881337	22884	13858453	5866	0.005866	NA	NA	NA	NA	NA	NA	LONG_MOBILE-4	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-5.bt9.trace.res	../traces/LONG_MOBILE-5.bt9.trace.gz	145	31.4	6.98	1.468	NA	1000000000	4038314	2489985	1548329	2740	0.00274	NA	NA	NA	NA	NA	NA	LONG_MOBILE-5	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-6.bt9.trace.res	../traces/LONG_MOBILE-6.bt9.trace.gz	161	19.9	2.97	6.078	46.4557	514635404	71815794	14786976	57028818	4042560	7.855192	51.895833	52.240083	NA	NA	NA	NA	LONG_MOBILE-6	LONG_MOBILE	16	10	4	18
./hashedperceptron/tableCount16-logTableSize10-weightBit4-speed18/LONG_MOBILE-7.bt9.trace.res	../traces/LONG_MOBILE-7.bt9.trace.gz	138	53	91.41	132.82	89.3871	599758591	102414543	6556201	95858342	8728670	14.553639	87.271767	85.97365	85.54177	NA	NA	NA	LONG_MOBILE-7	LONG_MOBILE	16	10	4	18
