TRACE	MPKBr_1K	MPKBr_10K	MPKBr_100K	MPKBr_1M	MPKBr_10M	NUM_INSTRUCTIONS	NUM_BR	NUM_UNCOND_BR	NUM_CONDITIONAL_BR	NUM_MISPREDICTIONS	MISPRED_PER_1K_INST	filename	trace	trace_category	MPKBr_30M	MPKBr_60M	MPKBr_100M	MPKBr_300M	MPKBr_600M	MPKBr_1B	historyLength	logPhtSize	wayCount	setCount	tagLength
../traces/LONG_MOBILE-1.bt9.trace.gz	107	23.1	13.84	13.485	13.1959	642168792	29269647	54105	29215542	385354	0.600082	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-1.bt9.trace.res	LONG_MOBILE-1	LONG_MOBILE	NA	NA	NA	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-2.bt9.trace.gz	42	4.2	33.94	17.526	15.3239	1271560006	112993125	1404676	111588449	1743377	1.371054	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-2.bt9.trace.res	LONG_MOBILE-2	LONG_MOBILE	15.496233	15.41225	15.40539	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-3.bt9.trace.gz	200	94.4	52.97	41.61	56.7411	1283893069	163272689	26253683	137019006	9861856	7.681213	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-3.bt9.trace.res	LONG_MOBILE-3	LONG_MOBILE	58.751067	59.577167	61.31236	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-4.bt9.trace.gz	169	21.3	3.33	0.591	0.3281	999999976	13881337	22884	13858453	4482	0.004482	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-4.bt9.trace.res	LONG_MOBILE-4	LONG_MOBILE	NA	NA	NA	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-5.bt9.trace.gz	176	34.3	7.71	3	NA	1000000000	4038314	2489985	1548329	6287	0.006287	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-5.bt9.trace.res	LONG_MOBILE-5	LONG_MOBILE	NA	NA	NA	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-6.bt9.trace.gz	169	19.7	2.96	45.565	57.532	514635404	71815794	14786976	57028818	4383331	8.517352	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-6.bt9.trace.res	LONG_MOBILE-6	LONG_MOBILE	60.136033	60.096983	NA	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-7.bt9.trace.gz	172	55.5	68.1	82.208	57.0664	599758591	102414543	6556201	95858342	5586295	9.314239	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-7.bt9.trace.res	LONG_MOBILE-7	LONG_MOBILE	55.6883	55.006867	54.67435	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-8.bt9.trace.gz	50	5	0.59	0.059	0.0296	5789354553	811360113	426874521	384485592	1885	3.26e-4	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-8.bt9.trace.res	LONG_MOBILE-8	LONG_MOBILE	0.0118	0.006067	0.00373	0.002293	0.002203	NA	14	14	4	2048	8
../traces/LONG_MOBILE-9.bt9.trace.gz	16	15.4	14.58	12.754	16.6475	990358237	269658601	2588186	267070415	4435813	4.478998	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-9.bt9.trace.res	LONG_MOBILE-9	LONG_MOBILE	16.140167	16.18695	16.49676	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-11.bt9.trace.gz	234	86.2	42.28	25.501	18.7186	1207440258	325563619	94204876	231358743	3924758	3.250478	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-11.bt9.trace.res	LONG_MOBILE-11	LONG_MOBILE	17.114033	14.155417	13.06373	11.821453	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-12.bt9.trace.gz	234	87	41.88	25.545	18.6849	1688784689	436394748	112850745	323544003	5615570	3.325214	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-12.bt9.trace.res	LONG_MOBILE-12	LONG_MOBILE	16.774867	14.690683	13.74521	12.83378	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-13.bt9.trace.gz	66	29.6	26.03	22.658	NA	1899254569	9074602	47369	9027233	201197	0.105935	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-13.bt9.trace.res	LONG_MOBILE-13	LONG_MOBILE	NA	NA	NA	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-14.bt9.trace.gz	89	28	2.8	44.067	51.5858	996258435	231568519	34825181	196743338	12115959	12.161462	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-14.bt9.trace.res	LONG_MOBILE-14	LONG_MOBILE	52.104767	52.2479	52.29971	NA	NA	NA	14	14	4	2048	8
../traces/LONG_MOBILE-15.bt9.trace.gz	94	36.8	3.92	0.691	0.3972	1540382230	341525363	44793411	296731952	193381	0.125541	yags/historyLength14-logPhtSize14-wayCount4-setCount2048-tagLength8-targetHistoryFalse/LONG_MOBILE-15.bt9.trace.res	LONG_MOBILE-15	LONG_MOBILE	0.3949	0.393917	0.40161	0.487493	NA	NA	14	14	4	2048	8
